Country Name,GDP,GDP_Growth,GDP_PerCap,Emp_Growth,UnEmployment,Literacy_Rate,Safe_Water_Rate,15-24_Fem_Employment,Labels
Aruba,,,,,,,,,
Africa Eastern and Southern,1.16948E+12,3.404851577,1622.39172,64.45621391,7.916835364,72.60040283,,49.26730668,
Afghanistan,,,,,,,30.03409813,,
Africa Western and Central,8.77863E+11,3.762758491,1790.3488,58.90268998,4.7421746,60.31269836,29.4568892,31.90068572,
Angola,1.06714E+11,3.04540301,2998.501158,69.025,10.209,72.40000153,,56.181,
Albania,18882095518,4.844235895,6802.804519,52.353,11.808,98.5,70.73606795,28.11,
Andorra,3352032737,8.809579348,41992.79336,,,,90.64000149,,
Arab World,3.55756E+12,5.962745078,7655.848402,41.05872993,10.6640194,75.17153168,,10.83121631,
United Arab Emirates,5.07535E+11,7.411103202,53757.86325,79.945,2.754,98.28540802,,30.135,
Argentina,6.3277E+11,5.243044499,13686.00867,56.313,6.491,,,31.591,
Armenia,19502783988,12.6,7014.206592,54.828,12.557,,82.41172394,38.764,
American Samoa,,,,,,,,,
Antigua and Barbuda,1757603704,8.458733325,18745.17351,,,,,,
Australia,1.67542E+12,3.617588572,64491.42989,63.96,3.661,,,71.829,
Austria,4.714E+11,4.996942407,52131.44666,58.761,4.707,,98.89632339,52.231,
Azerbaijan,78721058824,4.616522963,7736.701232,62.657,5.462,,71.61170272,43.285,
Burundi,3073414678,1.848999999,238.4418757,78.92,1.02,75.54000092,,58.096,
Belgium,5.78604E+11,3.247837207,49582.82536,51.841,5.631,,99.73944938,30.048,
Benin,17401746309,6.253244914,1303.222014,61.553,1.654,47.09999847,,34.088,
Burkina Faso,18884619613,1.47930064,832.8842657,62.161,5.175,34.49000168,,44.004,
Bangladesh,4.60201E+11,7.099828776,2688.30395,55.993,4.699,,59.10929532,26.508,
Bulgaria,89040398406,3.361252752,13772.47679,53.821,4.402,,95.65433138,17.537,
Bahrain,44390820479,4.860858272,30152.03468,70.678,1.399,,98.90397556,26.864,
"Bahamas, The",12897400000,14.36896003,31458.30081,64.989,10.056,,,38.412,
Bosnia and Herzegovina,24527507288,3.896807742,7585.375002,42.657,14.053,98.30000305,86.97067946,24.93,
Belarus,72793457588,-4.697449707,7904.856243,60.439,4.17,,93.09975592,42.161,
Belize,2824081836,12.12874526,6968.361585,58.599,9.687,,,32.843,
Bermuda,7550500000,2.927112949,118845.6211,,,,,,
Bolivia,43068885673,3.070054644,3523.273733,66.275,4.419,,,40.138,
Brazil,1.9201E+12,2.900530615,8917.673898,57.161,9.461,94.69000244,87.25871547,50.359,
Barbados,5637914515,9.998995328,20018.51515,55.968,8.203,,,40.537,
Brunei Darussalam,16681531646,-1.62833154,37152.46624,59.557,7.203,,,32.516,
Bhutan,,,,59.644,3.604,72.09999847,73.34199194,28.447,
Botswana,20352322157,5.782349221,7737.654681,51.526,20.684,,,31.698,
Central African Republic,2382618615,0,427.0580963,66.092,6.363,,6.126444639,49.293,
Canada,2.13984E+12,3.396202279,54966.48884,61.562,5.209,,99.03972929,65.356,
Central Europe and the Baltics,1.94633E+12,4.048028787,19337.88903,55.36647555,3.849528062,99.42752075,91.33891318,24.92603081,
Switzerland,8.07706E+11,2.05923242,92101.46974,64.608,4.202,,96.70000186,64.238,
Channel Islands,,,,54.746,6.916,,,46.554,
Chile,3.01025E+11,2.440403398,15355.5065,54.402,7.784,97.16000366,98.7713643,25.378,
China,1.79632E+13,2.990804598,12720.21564,63.634,4.886,,,45.291,
Cote d'Ivoire,70018715017,6.741330002,2486.412194,63.728,2.637,,43.89215526,39.548,
Cameroon,44341646509,3.540977863,1588.478723,68.899,4.001,,,43.904,
"Congo, Dem. Rep.",58065953573,8.924447851,586.4642889,62.929,4.987,80.54000092,11.58433579,38.76,
"Congo, Rep.",14615532210,1.547952897,2447.988989,52.859,21.795,,,43.407,
Colombia,3.43939E+11,7.495775781,6630.282726,56.515,10.726,,73.85604483,38.975,
Comoros,1242519407,2.387678485,1484.892465,40.271,8.811,61.70999908,,11.622,
Cabo Verde,2314816792,17.71418117,3902.589049,48.514,13.57,91,,25.377,
Costa Rica,68380838316,4.305015798,13198.82172,54.358,11.453,,80.50757849,37.004,
Caribbean small states,92935645973,12.567807,12382.37538,57.89372185,7.432033444,,,33.05114091,
Cuba,,,,53.815,1.386,,,29.481,
Curacao,,,,,,,,,
Cayman Islands,,,,,,,,,
Cyprus,28439052741,5.632148019,31283.50586,59.688,6.976,,99.76506274,38.477,
Czechia,2.90924E+11,2.460919243,27638.37328,58.715,2.37,,97.88341163,23.648,
Germany,4.07219E+12,1.78520821,48432.45587,59.694,2.989,,99.9164119,50.922,
Djibouti,3515109075,3,3136.11296,22.621,27.929,,,11.084,
Dominica,612048148.1,5.938928276,8414.536593,,,,,,
Denmark,3.95404E+11,3.819017747,66983.132,60.575,4.172,,99.91882919,61.249,
Dominican Republic,1.13642E+11,4.858324033,10120.55116,59.888,7.121,95.5,44.94117681,36.167,
Algeria,1.91913E+11,3.1,4273.922183,35.895,11.55,,70.59793396,8.73,
East Asia & Pacific (excluding high income),2.11893E+13,3.411203883,9952.188121,63.94888953,4.224366301,,,41.98613884,
Early-demographic dividend,1.40295E+13,5.503577122,4069.176012,50.57143847,6.744943167,80.82801056,,22.49359101,
East Asia & Pacific,3.06552E+13,2.846120339,12906.69401,63.62951888,4.091704472,,78.44703894,42.46274034,
Europe & Central Asia (excluding high income),4.1247E+12,0.75325374,10376.78025,,,99.32569122,78.71824223,,
Europe & Central Asia,2.5192E+13,3.13168211,27363.87464,54.20837086,6.267068773,98.5410614,91.87324787,36.42185088,
Ecuador,1.15049E+11,2.947668633,6391.282484,63.752,3.955,93.94812012,67.08951177,36.334,
"Egypt, Arab Rep.",4.76748E+11,6.587845609,4295.407496,38.913,6.959,74.5,,8.489,
Euro area,1.40409E+13,3.480419029,40755.04738,53.69315336,6.719189091,,98.23726016,39.04186172,
Eritrea,,,,72.46,6.618,,,63.992,
Spain,1.39751E+12,5.451739623,29350.16852,50.264,13.009,,99.56714264,31.248,
Estonia,38100812959,-1.287411341,28332.62909,61.331,5.851,,97.01938262,50.65,
Ethiopia,1.26783E+11,5.31709603,1027.585918,77.345,4.018,,13.23789824,66.991,
European Union,1.66414E+13,3.540267195,37149.60859,54.16156549,6.090948803,,96.80900432,36.93927344,
Fragile and conflict affected situations,1.89255E+12,1.098216534,1857.0116,57.47484235,6.698456614,65.55536652,,35.26086589,
Finland,2.80826E+11,2.083775209,50536.62447,55.818,6.801,,99.64202706,53.919,
Fiji,4943248200,16.12485102,5316.658385,54.235,4.334,,41.86358122,25.702,
France,2.78291E+12,2.562393564,40963.83734,52.076,7.445,,99.70414541,38.397,
Faroe Islands,,,,,,,,,
"Micronesia, Fed. Sts.",427094119.1,-0.619574793,3741.057769,,,,,,
Gabon,21071739228,3.036941861,8820.347338,37.423,21.469,85.69000244,,15.147,
United Kingdom,3.07067E+12,4.101621381,45850.42612,60.118,3.571,,99.80414701,52.296,
Georgia,24605375420,10.10871994,6627.70698,56.561,11.311,99.57498932,69.14185103,29.009,
Ghana,72838798788,3.239706263,2175.85977,66.168,3.867,,44.4680832,39.61,
Gibraltar,,,,,,,100,,
Guinea,21227749389,4.7,1531.656475,49.357,5.749,,,26.543,
"Gambia, The",2273060863,4.92372751,840.0101934,58.545,4.78,58.66999817,47.67465253,41.938,
Guinea-Bissau,1633559092,3.500049592,775.8289657,53.918,3.583,53.90000153,23.87160184,30.554,
Equatorial Guinea,11813908448,3.145798294,7053.467085,50.249,8.689,,,26.948,
Greece,2.19066E+11,5.913708309,20732.05222,45.368,12.162,,98.87964129,20.997,
Grenada,1256413185,5.80000089,10016.20869,,,,,,
Greenland,,,,,,,,,
Guatemala,95003333381,4.118004169,5473.208741,57.158,2.569,84.26999664,56.29330505,30.914,
Guam,,,,58.302,6.134,,99.05979173,45.648,
Guyana,15357537068,57.80022,18989.7902,43.913,12.358,90.02999878,,35.411,
High income,6.15358E+13,2.801075899,49430.32936,58.16176696,4.511661269,,94.3030606,43.48942924,
"Hong Kong SAR, China",3.59839E+11,-3.476329865,48983.6238,56.05,5.058,,100,35.673,
Honduras,31717700115,3.997949815,3040.17308,58.754,7.099,,65.20679694,40.315,
Heavily indebted poor countries (HIPC),9.7011E+11,4.527340743,1097.051659,65.33600953,5.024418563,65.21852112,,47.04951068,
Croatia,70964606465,6.331336296,18413.23468,48.64,6.746,,,30.143,
Haiti,20253551885,-1.681983975,1748.257132,55.847,14.836,,,31.087,
Hungary,1.78789E+11,4.577905769,18463.20852,57.663,3.423,,100,27.184,
IBRD only,3.76357E+13,3.514201701,7658.320887,55.23622818,6.214367958,89.7009964,,27.60052631,
IDA & IBRD total,4.04488E+13,3.573074231,5988.572797,55.96934014,6.061194346,84.9614563,,30.42616482,
IDA total,2.81327E+12,4.319087401,1528.972799,58.47202885,5.563803716,68.83825684,35.43677389,36.03157658,
IDA blend,1.1733E+12,4.539162781,1930.612819,54.72126587,6.102046983,67.53321838,42.5528874,26.78896564,
Indonesia,1.3191E+12,5.308595005,4787.999308,64.246,3.554,,30.26616672,38.165,
IDA only,1.63993E+12,4.133739558,1330.854544,60.46184069,5.303174758,69.47164917,31.3541413,40.9090192,
Isle of Man,,,,,,,99.70983139,,
India,3.38509E+12,7.002951544,2388.621198,45.859,7.33,76.32277679,,12.271,
Not classified,,,,,,,,,
Ireland,5.29245E+11,11.9695803,104038.9461,62.678,4.362,,95.99140504,54.353,
"Iran, Islamic Rep.",3.88544E+11,2.749166141,4387.825715,37.912,10.964,88.95999908,94.22125147,9.874,
Iraq,2.64182E+11,7.008745223,5937.195466,34.091,15.547,,59.74263127,7.023,
Iceland,27841648044,6.444566325,72902.97995,72.46,3.809,,100,77.386,
Israel,5.22033E+11,6.464668446,54659.75396,61.412,3.476,,99.47115604,45.375,
Italy,2.01043E+12,3.674683255,34157.99012,45.438,8.094,,92.71055756,21.523,
Jamaica,17097760745,4.2,6047.216464,65.198,6.049,,,31.528,
Jordan,47451499859,2.503796384,4204.50564,32.59,17.874,,85.70913102,9.937,
Japan,4.23114E+12,1.028624866,33815.31727,60.689,2.641,,98.6585502,49.959,
Kazakhstan,2.20623E+11,3.2,11243.67123,66.299,5.008,,,37.893,
Kenya,1.1342E+11,4.846634856,2099.301938,70.271,5.502,82.87999725,,41.874,
Kyrgyz Republic,10930644915,7.022208826,1606.668075,56.744,4.567,,76.4871521,23.868,
Cambodia,29956769529,5.16246,1786.560819,75.44,0.361,83.77999878,29.13127957,56.935,
Kiribati,223352943.2,1.5625,1701.970123,,,,14.41407467,,
St. Kitts and Nevis,961563259.3,9,20176.74758,,,,,,
"Korea, Rep.",1.66525E+12,2.560537432,32254.62472,62.184,2.788,,99.2801236,33.398,
Kuwait,1.84558E+11,8.177755846,43233.48909,69.721,2.482,,100,16.474,
Latin America & Caribbean (excluding high income),5.30057E+12,3.601567092,8884.682735,58.5889361,7.045669872,94.34609222,68.49431993,40.63178389,
Lao PDR,15724383783,2.707426527,2088.377182,57.303,2.633,87.51999664,17.87207557,47.316,
Lebanon,,,,40.94,12.635,,47.7,26.49,
Liberia,4001047150,4.808113461,754.5328769,73.809,3.634,,,52.667,
Libya,45752336036,-1.236981944,6716.095985,37.654,20.68,,,10.438,
St. Lucia,2065027556,15.4,11481.49672,57.422,17.362,,,56.485,
Latin America & Caribbean,6.24662E+12,3.751778378,9474.467688,57.97351519,7.02316962,94.60012054,75.21368485,39.02993756,
Least developed countries: UN classification,1.41676E+12,4.427820908,1259.1412,61.58288553,5.466356205,66.96414948,28.70533804,42.94114599,
Low income,5.21634E+11,3.500565851,741.2443633,63.22455529,5.520619654,61.87062073,28.60294834,46.05037962,
Liechtenstein,,,,,,,100,,
Sri Lanka,74403578363,-7.823977326,3354.383408,47.49,6.705,,47.12753287,21.372,
Lower middle income,8.10965E+12,5.078670606,2542.199938,50.08639753,6.457194281,77.79563141,63.79932676,21.10791087,
Low & middle income,3.86877E+13,3.517079276,5793.343949,56.0778904,6.062775242,84.79534149,68.80597107,30.64846109,
Lesotho,2553459763,0.591917768,1107.395298,52.729,18.039,82.01000214,28.21748742,35.916,
Late-demographic dividend,2.80788E+13,3.197890202,12074.47702,62.22060427,5.292967342,96.59059143,,42.55057879,
Lithuania,70334299008,1.887795395,24826.79104,59.425,5.569,,94.98149647,35.095,
Luxembourg,82274812251,1.548714616,126426.0899,58.65,4.698,,99.53408196,32.959,
Latvia,41153912663,1.976185961,21851.1052,57.156,6.429,,97.11127226,33.211,
"Macao SAR, China",21979475561,-26.76142266,31617.5019,67.107,2.627,,100,41.819,
St. Martin (French part),,,,,,,96.62876481,,
Morocco,1.34182E+11,1.079969491,3527.941895,40.791,10.494,77.34999847,74.82419935,13.439,
Monaco,,,,,,,100,,
Moldova,14420947884,-5.948036793,5562.613625,40.725,2.278,,75.22434212,14.538,
Madagascar,14954967604,3.796204884,505.0355276,84.061,2.142,77.48000336,22.23922328,71.352,
Maldives,6189865408,12.29948647,11817.52393,60.406,4.883,,,41.857,
Middle East & North Africa,4.41442E+12,5.752082766,8949.396779,41.40130359,9.632360938,80.35758972,78.48211112,10.40594264,
Mexico,1.41419E+12,3.06238019,11091.30543,58.967,3.308,,43.03787942,32.295,
Marshall Islands,279667900,1.499997063,6727.799562,,,,,,
Middle income,3.81643E+13,3.517315725,6388.158169,55.43192509,6.118314654,86.86933136,,28.33687472,
North Macedonia,13563132057,2.146656473,6591.471292,46.193,15.081,,80.44702587,21.429,
Mali,18827176532,3.687484098,833.2972552,65.639,2.762,,,47.201,
Malta,17765270015,6.851011256,33940.9496,61.735,2.813,,99.77241553,53.272,
Myanmar,59364362541,3.002678341,1095.70179,,,,57.39649937,,
Middle East & North Africa (excluding high income),1.67699E+12,3.873908034,3952.111391,37.46009425,11.22524917,77.39949799,,9.302233319,
Montenegro,6095978868,6.093776357,9893.515907,47.868,15.402,,85.11891799,27.861,
Mongolia,16810883361,4.845908203,4946.754811,54.498,8.247,,39.28015504,22.07,
Northern Mariana Islands,,,,,,,90.63917526,,
Mozambique,17851491428,4.148414532,541.4544255,75.418,3.906,,,61.999,
Mauritania,10375460680,5.199999994,2190.700205,36.303,11.109,,,13.043,
Mauritius,12898307089,8.690735124,10216.29474,54.304,7.234,,,33.995,
Malawi,13164667627,0.92343629,645.1586921,63.837,5.614,68.08000183,17.75707962,51.917,
Malaysia,4.06306E+11,8.694343203,11971.9276,63.498,3.73,,93.94192081,35.781,
