Country Name,GDP,GDP_Growth,GDP_PerCap,Employment_to_population,Unemployment_total_%,Literacy_Rate,Population_growth,Access_to_electricity
Aruba,NA,NA,NA,NA,NA,NA,-0.08639228265,100
Africa Eastern and Southern,1.17E+12,3.404851577,1622.39172,64.45621391,7.916835364,72.60040283,2.540937372,48.10360869
Afghanistan,NA,NA,NA,NA,NA,NA,2.534498317,97.7
Africa Western and Central,8.78E+11,3.762758491,1790.3488,58.90268998,4.7421746,60.31269836,2.539799442,54.22418732
Angola,1.07E+11,3.04540301,2998.501158,69.025,10.209,72.40000153,3.096752671,48.22385406
Albania,18882095518,4.844235895,6802.804519,52.353,11.808,98.5,-1.289800065,100
Andorra,3352032737,8.809579348,41992.79336,NA,NA,NA,0.9946071492,100
Arab World,3.56E+12,5.962745078,7655.848402,41.05872993,10.6640194,75.17153168,1.78833854,90.84566129
United Arab Emirates,5.08E+11,7.411103202,53757.86325,79.945,2.754,98.28540802,0.8080751506,100
Argentina,6.33E+11,5.243044499,13686.00867,56.313,6.491,NA,0.9258354737,100
Armenia,19502783988,12.6,7014.206592,54.828,12.557,NA,-0.3771020344,100
American Samoa,NA,NA,NA,NA,NA,NA,-1.706495481,NA
Antigua and Barbuda,1757603704,8.458733325,18745.17351,NA,NA,NA,0.5818758329,100
Australia,1.68E+12,3.617588572,64491.42989,63.96,3.661,NA,1.125898518,100
Austria,4.71E+11,4.996942407,52131.44666,58.761,4.707,NA,0.9637749217,100
Azerbaijan,78721058824,4.616522963,7736.701232,62.657,5.462,NA,0.3669223759,100
Burundi,3073414678,1.848999999,238.4418757,78.92,1.02,75.54000092,2.66016084,10.23382759
Belgium,5.79E+11,3.247837207,49582.82536,51.841,5.631,NA,0.6576645771,100
Benin,17401746309,6.253244914,1303.222014,61.553,1.654,47.09999847,2.702041089,41.97363281
Burkina Faso,18884619613,1.47930064,832.8842657,62.161,5.175,34.49000168,2.559988391,18.95068741
Bangladesh,4.60E+11,7.099828776,2688.30395,55.993,4.699,NA,1.074836743,98.99102783
Bulgaria,89040398406,3.361252752,13772.47679,53.821,4.402,NA,-6.187252982,99.8
Bahrain,44390820479,4.860858272,30152.03468,70.678,1.399,NA,0.6110055534,100
"Bahamas, The",12897400000,14.36896003,31458.30081,64.989,10.056,NA,0.5081378844,100
Bosnia and Herzegovina,24527507288,3.896807742,7585.375002,42.657,14.053,98.30000305,-1.150513985,100
Belarus,72793457588,-4.697449707,7904.856243,60.439,4.17,NA,-1.014352055,100
Belize,2824081836,12.12874526,6968.361585,58.599,9.687,NA,1.301640251,97.6921463
